time_ps,tap,valid,ready,sop,eop,k_word,frame_header,subheader,frame_trailer,payload_region,tb_feb_valid,sidecar_valid,sidecar_hex,data_hex,decoded_asic,decoded_channel,decoded_t_fine
2313481600,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x16f0000f7,12,0,0
2313481600,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x18f0000f7,12,0,0
2313488000,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1700000f7,0,0,0
2313488000,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1900000f7,0,0,0
2313494400,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1710000f7,4,0,0
2313494400,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1910000f7,4,0,0
2313500800,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1720000f7,8,0,0
2313500800,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1920000f7,8,0,0
2313507200,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1730000f7,12,0,0
2313507200,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1930000f7,12,0,0
2313513600,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1740000f7,0,0,0
2313513600,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1940000f7,0,0,0
2313520000,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1750000f7,4,0,0
2313520000,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1950000f7,4,0,0
2313526400,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1760000f7,8,0,0
2313526400,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1960000f7,8,0,0
2313532800,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1770000f7,12,0,0
2313532800,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1970000f7,12,0,0
2313539200,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1780000f7,0,0,0
2313539200,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1980000f7,0,0,0
2313545600,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1790000f7,4,0,0
2313545600,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1990000f7,4,0,0
2313552000,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x17a0000f7,8,0,0
2313552000,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x19a0000f7,8,0,0
2313558400,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x17b0000f7,12,0,0
2313558400,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x19b0000f7,12,0,0
2313564800,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x17c0000f7,0,0,0
2313564800,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x19c0000f7,0,0,0
2313571200,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x17d0000f7,4,0,0
2313571200,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x19d0000f7,4,0,0
2313577600,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x17e0000f7,8,0,0
2313577600,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x19e0000f7,8,0,0
2313584000,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x17f0000f7,12,0,0
2313584000,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x19f0000f7,12,0,0
2313590400,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1800000f7,0,0,0
2313590400,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1a00000f7,0,0,0
2313596800,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1810000f7,4,0,0
2313596800,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1a10000f7,4,0,0
2313603200,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1820000f7,8,0,0
2313603200,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1a20000f7,8,0,0
2313609600,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1830000f7,12,0,0
2313609600,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1a30000f7,12,0,0
2313616000,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1840000f7,0,0,0
2313616000,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1a40000f7,0,0,0
2313622400,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1850000f7,4,0,0
2313622400,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1a50000f7,4,0,0
2313628800,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1860000f7,8,0,0
2313628800,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1a60000f7,8,0,0
2313635200,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1870000f7,12,0,0
2313635200,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1a70000f7,12,0,0
2313641600,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1880000f7,0,0,0
2313641600,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1a80000f7,0,0,0
2313648000,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1890000f7,4,0,0
2313648000,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1a90000f7,4,0,0
2313654400,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x18a0000f7,8,0,0
2313654400,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1aa0000f7,8,0,0
2313660800,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x18b0000f7,12,0,0
2313660800,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1ab0000f7,12,0,0
2313667200,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x18c0000f7,0,0,0
2313667200,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1ac0000f7,0,0,0
2313673600,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x18d0000f7,4,0,0
2313673600,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1ad0000f7,4,0,0
2313680000,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x18e0000f7,8,0,0
2313680000,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1ae0000f7,8,0,0
2313686400,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x18f0000f7,12,0,0
2313686400,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1af0000f7,12,0,0
